PRODUCT DESCRIPTION,SALES QUANTITY
Darling Yaki Braid #4,6
"Linda 22"" Straight",6
"Linda 24"" Straight",6
Curl Activator,5
Darling Yaki Braid #35,5
"linda 26"" Straight",5
"10"" Wave Bella Collexion",3
Darling Yaki #4,3
Darling Yaki Braid #27,3
Hair Loss Ampule,3
Pappa Reale,3
WS Darling Yaki Braid #4,3
"10"" Wave Bella Collexion LB",2
Amla Plus 100ml,2
Black Clips PO4,2
Black Copy,2
Darling Boy Cut #1,2
Darling Pony Tail #1/27,2
Havainas 2nd Hand,2
"Linda 22"" Straight LB",2
WS Darling Yaki Braid #35,2
"16"" Curly Aisha Collexion",1
"16"" Curly Jenny Collexion",1
"18"" Wave Aisha Collexion",1
"22"" Wave Jenny Collexion",1
"8"" Wave Bella Collexion",1
"8"" Wave Bella Collexion LB",1
Alice Band Blue & Silver Heart,1
Alice Band Spiral,1
Black Men Trouser,1
Boys Black School Shoes,1
Boys Jean,1
Classic Wanda Human Hair,1
Darling Daniella #2,1
Darling Daniella 4/27,1
Darling Joya,1
Darling Joya #1,1
Darling Lolita #1/35,1
Darling Lolita #35,1
Darling Mini Ondule 4/27,1
Darling Ombre Braid #1/27,1
Darling Ondule 4/27,1
Darling Pony Tail #1,1
Darling Pony Tail #4/27,1
Darling Pony Tail 1/27,1
Darling Sherry #2,1
Darling Soft Dred #1,1
Darling Ultra Dred #27,1
Darling Ultra Dred #39,1
Darling Vibrations 1/27,1
Darling Yaki Braid #1/27,1
Darling Yaki YB 1/27/350,1
Deo Fit Lady Drops Virginity,1
Eye Brow Tweezer Flower,1
Flexi Rod Medium,1
Flower Bag,1
Fringe Bella,1
Fringe Bella Collexion,1
Glue Gun,1
Glue Gun Small,1
Hair Band Black,1
Hair Bolla Spiral,1
Hair Dye Shampoo,1
Hair Grip Black Triangle,1
Hair Net,1
Hair Pin Ribbon Design Various Colours,1
Hair Wave Tool,1
Hydrogen Peroxide 30 Vol,1
Keratin Hair Growth Ampule,1
Keratin Silicon Serum,1
Lace Wig Tape Roll,1
Loyds White Top,1
LV Damaged Bag,1
Maca Male Enhancer,1
Mixed WS Darling Yaki #27,1
Mixed WS Darling Yaki #35,1
Mixed WS Darling Yaki Braid #1/35,1
MW Darling Yaki Braid #35,1
MW Darling Yaki Braid #4,1
NB Hair Dye Henna,1
Necklace Blue Bead Traditional,1
Nipple Bra Black 36,1
Noor Kayaal Eyeliner,1
One Million Braid #1/39,1
Penis Ring,1
Purple & Black Men Shirt,1
Velcro Curler Yellow,1
Weaving Cap,1
Wood Pulling Needle,1
WS Darling Yaki #4,1
WS Darling Yaki Braid #27,1
Yellow & Black Lace Dress,1
Yellow & Black Soccer Shoes,1
