PRODUCT DESCRIPTION,SALES QUANTITY
Darling Yaki Braid #1,10
Curl Activator,7
Darling Yaki Braid #35,3
MTC Starter Pack,3
Pappa Reale,3
WS Darling Yaki Braid #1,3
Carmen Joedir Wig Human Hair,2
Clip Black Pack of 4,2
Darling Lolita 1/35,2
Darling Mini Hollywood #2,2
Darling Sherry #1,2
Darling Yaki #1,2
Darling Yaki Braid #27,2
Flexi Rod Large,2
Hair Bolla Black Large,2
Marhaba Amla Hair Oil,2
WS Darling Yaki Braid #35,2
"10"" Wave Aisha Collexion",1
"14""Wave Aisha Collexion",1
"16""Curly 1 Piece  Aisha Collexion",1
"18""Wave Collexion Aisha",1
"20""Wav Clip On Human Hair",1
"20""Wave Aisha Collexion",1
"20""Wave HH Clip on Piece",1
"22""Wave Lace Closure",1
"24""Wave Aisha Colexion",1
"8""Straight Clip On Bella Human Hair",1
A Lip Stick Variours Colours,1
A Lip Stick Various Colours,1
A Lipstick,1
Adele Joedir Wig,1
Adele Wig Joedir,1
Alice Band Spiral,1
Alice Band with Studs,1
Artificial Hair Colour,1
Black Hair Comb,1
Black Skiny Underwear,1
Blue Baby  Shoes,1
Brown Baby Shoes,1
Carmen Joedir Wig,1
Carmen wig Joedir,1
Clip Black PO4,1
Comb/Brush/Mirror Combo,1
Cosmetic Bag,1
Cotton Elastic Threat Black,1
CP Lip Stiick Various Colours,1
Curl Activatir,1
Darling  Yaki 1/27/350,1
Darling Boy Cut #4,1
Darling Daniela #2,1
Darling Daniella #2,1
Darling Kayla Curl 1/39,1
Darling Lolita #1,1
Darling Lolita #2,1
Darling Mini Hollywood # 2,1
Darling Mini Ondule #1,1
Darling Pony Tail long #2,1
Darling Pony Tail long #4,1
Darling Sherry #1/35,1
Darling Sherry #2,1
Darling Sherry 1/35,1
Darling Soft Dred 1/27,1
Darling Soft Dred 1/39,1
DIY Wig Joedir Wig,1
Eye Pencil,1
Eyelash/wig bond remover,1
False Eye Lashes Long,1
Fish Net V Shape Body Stocking,1
Flexi Rod Medium,1
Flower Various Colour,1
Flower Various colours,1
Hail Bola Black Large,1
Hair Bolla Pack of 2 Multicolour,1
Hair Bonding Glue,1
Hair Grip Flower,1
Hair Grip Pink & Black,1
Hair straightner Iron,1
Lace Wig Tape Roll 3M,1
"Linda 26""Straight",1
Magic Black Hair Shampoo,1
Make Up Brush Set,1
Marhaba Amla Oil,1
Movie Star Joedir Wig Human Hair,1
New Style Mascara,1
Noor Kayaal Eyeliner,1
Nr28 T-Shirt,1
Nunaat Brazilian Hair Oil,1
Pappa Reale IBR 10ml,1
Perm Curlers,1
Pink Foot Heal,1
RKH3599 Joedir Wig,1
Tube Eueliner,1
Tube Eye liner,1
V Colour Hair Comb with Stud,1
Velvet Brown Top,1
Velvet Hair Bolla,1
Wig Cap,1
Yellow Vibrator Small,1
