PRODUCT DESCRIPTION,SALES QUANTITY
Black Copy,10
Curl Activator,8
GO-TV Decoder & Antenna,7
MTC Starter Pack,5
"26""Linda Straight",4
"26""Linda Straight Collexion",4
JS Hair Treatment 20ml,4
Amla Hair Oil 100ml,2
BHE Ponytail #35,2
BHE Yaki Braid #1,2
Darling Boy Cut #1,2
Darling Kayla Curl #1,2
Pappa Reale,2
SS Oil Moisture Spray 250ml,2
SS Shine Serum 100ml,2
"10""Bella Yaki FH",1
"10""Curly Aisha Laybuy",1
"10""Curly Laybuy partial payment",1
"10""Wave FH",1
"10""Wave FH Aisha",1
"14"" Wave Clip On Hair Piece",1
"14""Curly Aisha",1
"14""Curly FH Aisha",1
"16""Curly FH",1
"16""Wave FH Aisha",1
"18""Curly FH",1
"20""Straight Clip On FH",1
"22""Wave FH Aisha Collexion",1
"26""Linda  Straight",1
"26""Linda Collexion",1
"28""Wave 1 Piece",1
"28""Wave 1 Piece Jenny Collexion",1
A Lip Stick Various Colour,1
A Lip Stick Various Colours,1
Adele Wig Joedir,1
Adele Wig Joedir Human,1
Alice Band Spiral,1
Amla Hair Food 100ml,1
BHE Ombre Braid Brown,1
BHE Ombre Yaki Braid 4/27,1
Brown Hair Comb Large,1
Brown Hair Comb Medium,1
Clip Black Pack of 4,1
Clip Blond Pack of 4,1
Cotton Elastic Threat Black,1
Darling Boy Cut #4,1
Darling Boy Cut 4/27,1
Darling Daniella #2,1
Darling Kayla Curl #1/39,1
Darling Kayla Curl 1/30,1
Darling Kayla Curl 1/39,1
Darling Lolita #1,1
Darling Mini Ondule 1/35,1
Darling Poiny Tail #1,1
Darling Vibrations #4,1
Darling Yaki #35,1
Darling Yaki Braid #27,1
Dr James Acne Soap,1
Ear Protector Black,1
Elastic Thread Various Colours,1
Flexi Rod Medium,1
Flower Various Colour,1
GO Plus Payment 105,1
GO-TV Decoder&Antenna,1
Hair Bolla Black PO2 Small,1
Hair Bond,1
Hair Detangle Green,1
Hair Detangler Pink,1
Hair Grip Shell Handle,1
High Rise Potent Pills,1
JS Beeswax 125ml,1
Keratin Shampoo,1
Ladies Apron,1
Peanuts & Raisins,1
Silicon Multi Colour Small,1
SS Styling Gel 250ml,1
Training Hair Short Neck,1
Wig Plastic Stand,1
YC Fitting Insertions,1
YC Virginity Soap with Pink Rose,1
