PRODUCT DESCRIPTION,SALES QUANTITY
Black Copy,14
GO-TV Decoder & Antenna,6
Darling Yaki Braid #35,3
High Rise Potent Pills,3
JS Hair Treatment,3
MTC Starter Pack,3
Peanuts & Raisins,3
Amla Hair Oil,2
Amla Hair Oil 100ml,2
BHE Ombre Braid Brown,2
Curl Activator,2
Darling Daniella 4/27,2
Flexi Rod Large,2
Oshinge Pony Tail Long #35,2
Wig Stand Plastic,2
YC Fitting Insertions,2
"20""Synthetic Hair Clip Piece",1
"6""Joedire FH",1
"6""SW Joedire Human Hair",1
"8""Joedire FH",1
"8""Wave FH",1
Amla Hair Oil 100 ml,1
BHE Hair Piece #1,1
BHE Ombre Braid 4,1
BHE Ombre Yaki Braid #4/27,1
BHE Pony Tail Medium 4/35,1
BHE Yaki Pony Tail Medium #1,1
BHE Yaki Pony Tail Medium #4/35,1
Black Hair Comb,1
Boys Shoes Blue,1
Clip Pack of 4,1
Cosmetic Bag,1
Cotton Elastic,1
Darling Boy Cut #1,1
Darling Boy Cut #4,1
Darling Daniella #1,1
Darling Daniella #4/27,1
Darling Lolita #1,1
Darling Sherry #1/27,1
Darling Sherry #1/39,1
Darling Sherry 1/39,1
Darling Vibrations #4,1
Darling Yaki #27,1
Darling Yaki #27 of 15 Pieces,1
Darling Yaki #35,1
Darling Yaki #35 15 Piece,1
Darling Yaki #35 of 15 Pieces,1
Darling Yaki Braid #27,1
Darling Yaki Briad #27,1
DIY Wig,1
Flexi Rod Medium,1
GO-TV Decoder,1
Grey Ladies Jean,1
Hair Detangler,1
Hair Grip Bear V Colour,1
Hair Grip Small,1
Hair Net,1
Hair Straightner Iron,1
Havaianas Navy Blue Broad,1
JS Hair Treatment 20ml,1
JS Hair Treatment 20ml Pack,1
Keratin Glue Sticks Long Black,1
Oshinge Pony Tail Long #1,1
Oshinge Pony Tail Medium #1,1
Oshinge Yaki Braid #1,1
Peanust & Raisins,1
RKJ3599 Joedir Wig,1
SS Crème Relaxer,1
SS Oil Moisture Spray 250ml,1
SS Styling Gel 250ml,1
Velcro Curler Orange,1
WS BHE Ombre 4/27,1
WS BHE Ombre 4/35,1
WS BHE Ombre Rusty,1
YC Virginity Soap with Pink Rose,1
