PRODUCT DESCRIPTION,SALES QUANTITY
Black Copy,13
Curl Activator,6
BHE Yaki Braid #1,4
GO-TV Decoder & Antenna,4
Peanuts & Raisins,4
Amla Hair Food 100ml,3
MTC Starter Pack,3
Oshinge Yaki Braid #1,3
C Shaped Needle,2
Darling Yaki Braid #35,2
JS Hair Treatment 20ml,2
Make Up Brush Set,2
"10""Curly FH Layby Final Payment",1
"14""curly FH",1
"16""Clip on Full Set 100gr",1
"24""Clip On Full Set",1
"26""Straight Linda  Human Hair",1
4BGT1,1
Alice Band Silver Heart,1
Amla Hair Oil,1
Amla Hair Oil 350ml,1
Apricot Ladies Blouse,1
Argussy Virginity Liquid,1
BHE Ombre Braid Brown,1
BHE Ombre Yaki Braid 4/35,1
Black Copy Single,1
Black Ladies Vest,1
Blue Bubble Dress,1
Blue Men's Trouser,1
Clip Brown Pack of 4,1
Cosmetic Bag,1
Darling Boy Cut 4/27,1
Darling Pony Tail #1,1
Darling Sherry #2,1
Darling Ultra Dred #39,1
Darling Yaki Braid #27,1
DIY Wig Joedir Human Hair,1
DY Single Plaite Long #1/27/350,1
DY Single Plaite Long #4,1
Ear Protector,1
Ear Protector Black,1
Flexi Rod Medium,1
Flower Various Colours,1
Grey School Shirt,1
Hair Bun Template,1
Hair Detangler,1
High Rise One Shot,1
High Rise Potent Pills,1
Keratin Glue Sticks Black Long,1
Ladies Apron,1
Neha Herbal Hair Dye,1
Peanust & Raisins,1
Peanut & Raisins,1
Phat Farm Jean #35,1
Queen L G Mask Skin White,1
Sean John Jeans #36,1
SS Crème Relaxer Coarse,1
SS Moisture Spray,1
SS Oil Moisture Spray 250ml,1
Tube Eyeliner,1
White Jersey,1
Wood Brush Large,1
