PRODUCT DESCRIPTION,SALES QUANTITY
Curl Activator,11
Darling Yaki Braid #1,10
"Linda 26""Straight",5
Darling Yaki Braid #35,4
Pappa Reale,4
Clip Black PO4,3
Darling Yaki Braid #1/27/350,3
Nunaat Brazilian Hair Oil,3
"16""Wave Aisha Collexion",2
"20""Curly Aisha Collexion",2
A Lip Stick Various Colours,2
Darling Boy Cut #1,2
Darling Lolita #1,2
Darling Lolita #2,2
Darling Pony Tail #4,2
Darling Sherry 1/35,2
Darling Yaki Braid #27,2
Nipple Bra 36 Beige,2
Pulling Needle Green,2
Weaving Cap,2
"12""Curly Aisha Collexion",1
"12""Wave Aisha Collexion",1
"12""Wave FH Aisha Cllexion",1
"12""Wave FH Aisha Collexion",1
"18""Curly Aisha Collexion",1
"18""Wave Aisha Collexion",1
"18""Wave FH Aisha Collexion",1
"20""wave Aisha Collexion",1
"20""Wave Clip On HH Hair Piece",1
"20""Wave FH Aisha Collexion",1
"24""Wave Aisha Collexion",1
Alice Band Polka Dot,1
Alice Band with Stud,1
Bee Hive Brown Egg Shapped,1
Black & White Stripe Shirt,1
Black Hair Comb,1
Black Leather Shoes,1
Black Magic Shampoo Dye,1
Black Underwear 365,1
Blond Hair Band,1
Blue Court Shoes,1
Blue Suit Pencil Stripes,1
Body Shaper Beige,1
Boys Cream Pants,1
Brown Court Shoes,1
Brown Leather Jacket,1
Brown Leather Jacket layby,1
Burberry Hair Pin,1
C Shaped Needle,1
Cape Verde Wrap Dress,1
Charter Club Formal Dress,1
Clip Blond PO4,1
Cosmetic Bag,1
Damaged Foam Head,1
Daniel Hechter Black Trouser,1
Darling Daniella #2,1
Darling Daniella #4/27,1
Darling Joya #1,1
Darling Kayla Curl #2,1
Darling Kayla Curl 1/35,1
Darling Lolita #1/35,1
Darling Mini Hollywood #2,1
Darling Ombre #1/27,1
Darling Ombre 1/27,1
Darling Pony Tail #2/39,1
Darling Pony Tail #4/27,1
Darling Sherry #1,1
Darling Sherry #1/27,1
Darling Sherry #1/35,1
Darling Soft Dred #1,1
Darling Soft Dred #1/27,1
Darling Soft Dred #1/35,1
Darling Soft Dred #127,1
Darling Soft Dred 1/27,1
Darling Soft Dred 1/35,1
Darling Vibrations #1,1
Darling Vibrations #4,1
Darling Yaki #1,1
Darling Yaki Baid #27,1
Darling Yaki Ombre Braids,1
Darling Yaki Ombre YB1/35,1
Darling Yaki Vibrations #1,1
Darling Yaki YB 1/27,1
Darling Yaki YB1/27/350,1
Dolce & Gabanna T-Shirt,1
Dr James Acne & Freckle Soap,1
DY Single Plait Short #1,1
Finnigan Mustard Top,1
Fishnet Stocking Spaghetti Strip,1
Fitting Insertion,1
Flexi Rod Medium,1
Flower various colours,1
Grey & Black Glitter T-Shirt,1
Grey & Red Jersey,1
Grey Jersey Dress,1
Grey ladies Blazer,1
Grey Tight Fit Top,1
Hair Bola Black Large,1
Hair Bolla Pack of 2 Multi Colur,1
Hair Bonding,1
Hair Bonding Glue,1
Hair Brush & Mirror,1
Hair Comb Browm Medium,1
Hair Comb Brown Small,1
Hair Grip Green Ribbon Shape,1
Hair Heating Hat,1
Hair Installation Template,1
Hair Straightning Tool,1
Havaianas Black Slim Line,1
klere,1
Marhaba Amla  Hair Oil,1
Marhaba Amla Oil,1
Micro Bead Black,1
Miss Beauty Masque Cucumber,1
Mixed Darling Yaki Braid #1,1
Mixed Darling Yaki Braid #35,1
MTC Starter Pack,1
MTC Strater Pack,1
MWS Darling Yaki #35,1
MWS Darling Yaki Braid #1,1
Nike Jersey layby,1
Nike Olive Jersey,1
Noor Kayaal Eyeliner,1
Oasis Black Blouse #18,1
One Million Braid 1/39,1
Pastil Mud Mask Gold,1
Pulling Needle Red,1
Pulling Needle Wood,1
Red Insynic Tunic Medium,1
SGA Men Shirt,1
Silicon Mulit Colour Small,1
Spiderman Frame,1
Spray Bottle,1
V Colour Hair Bola Spiral,1
Various Colour Hair Comb with Stud,1
Velvet Hair Bolla,1
Virginity Soap with Rose,1
White Jersey Timberland,1
WS Darling Yaki Braid # 1,1
YC Virginity with Pink Rose,1
