PRODUCT DESCRIPTION,SALES QUANTITY
Curl Activator,8
Darling Yaki Braid #1,6
Darling Yaki Braid #35,4
"Linda 26"" Straight",4
"Linda 26""Straight",4
Darling Joya #1,3
"14""Wave Aisha Collexion",2
Darling Boy Cut #1,2
Darling Ombre Braid #1/27,2
Darling Yaki Braids #1,2
Keratin Silicon Serum,2
Marhaba Amla Hair Oil,2
Thongs various colours,2
WS Darling Yaki Braid #1,2
WS Darling Yaki Ombre #1/35,2
YC Virginity Soap,2
"10""Bella Yaki FH",1
"10""Curly Aisha Collexion",1
"10""Wave Bella Yaki FH",1
"12""Wave Aisha Collexion",1
"14""Curly Aisha Colexion",1
"18""Curly Aisha Collexion",1
"20"" Wave Aisha Collexion",1
"20"" Wave Clip Hair Piece",1
"20""Kinky Curl Aisha Collexion",1
"24"" Wave Aisha Collexion",1
"8"" Curly FH Aisha Collexion",1
"8""Curly Aisha Collexion",1
Black Clip PO4,1
Black Panty Hose,1
Blue Jersey Gals,1
Boys School Shoes,1
Burberry Hair Pin,1
Cosmetic Bag,1
CreamSilk Conditioner,1
Darling Boy Cut #4,1
Darling Kayla Curl #1/35,1
Darling Lolita #1/35,1
Darling Lolita #2,1
Darling Mini Ondule #4,1
Darling Pony Tail 4/27,1
Darling Sherry,1
Darling Sherry #1,1
Darling Sherry #1/35,1
Darling Ultra Dred #27,1
Darling Ultra Dred #4,1
Darling Yaki  YB #1/27/350,1
Darling yaki # 1,1
Darling Yaki Braid #1/27,1
Darling Yaki Braid #1/27/35,1
Darling Yaki Braid #1/35,1
Darling Yaki Braid #27,1
Darling Yaki Braid #35`,1
Darling Yaki Briad #1,1
Darling Yaki Ombre Braid #1/27,1
Darling Yaki Ombre YB #1/35,1
Deo Lady Virgin Drops,1
Donna Clair Blazer,1
DY Single Plaite Long #1/39,1
DY Single Plaite Long #35,1
Elastic Hair Thread Various Colours,1
Finnigans White Blazer,1
Flexi Rod Medium,1
Flexi Rod Small,1
Hair Bun Plaited Blond,1
Hair Shampoo Dye Black,1
JC Bleaching Powder 40 Vol.,1
Keratin Glue Crystals Blonde,1
Keratin Shampoo 200ml,1
Keratin Silicon Serum 30 gr,1
Liso Conditioner 250ml,1
Micro Bead Black 30g,1
MTC Starter Pack,1
NH Mehandi Brown Dye Henna,1
Nipple Bra Beige,1
Noor Kayaal,1
Nunaat Brazilian Hair Oil,1
One Million Braid #1/39,1
Pink Foot Heal File,1
Pink Top,1
Red Tunnic Top,1
Small Gift Bag Gold,1
Traditional Necklace,1
Training Hair Short Neck,1
WS Darling Yaki #1/27,1
WS Darling Yaki 1/27/350,1
YC Fitting Insertions,1
