PRODUCT DESCRIPTION,SALES QUANTITY
"Linda 22"" Straight",7
Curl Activator,4
Black Clips PO4,3
Darling Yaki Braids #4,3
"12"" Curly Aisha Collexion",2
Darling Lolita 1/35,2
Darling Ultra Dred #4,2
Darling Yaki #35,2
Darling Yaki #4,2
Darling Yaki Braid,2
Hair Shampoo Dye Black,2
"Linda 24"" Straight",2
YC Deo Fit Insertions,2
"10"" Wave",1
"10"" Wave Aisha Collexion",1
"10"" Wave Bella Collexion",1
"14"" Wave lay bye",1
"16"" Straight Bella Hair Piece",1
"22"" Wave Bulk Bella FH",1
"8"" Wave Bella",1
"8"" Wave Bella Collexion",1
Bee Hive Rough Black,1
Black Copy,1
Black Hair Comb,1
Creamsilk Straight,1
Darling Boy Cut $/27,1
Darling Joya #1,1
Darling Pony Tail #1,1
Darling Pony Tail #2,1
Darling Pony Tail #2/39,1
Darling Pony Tail 1/27,1
Darling Pony Tail 4/27,1
Darling Soft Dred 1/39,1
Darling Ultra Dred #27,1
Darling Vibrations 1/27,1
Darling Yaki  YB 1/27/350,1
Darling Yaki Braid 1/27/350,1
Darling Yaki Braids,1
Darling Yaki YB 1/27/350,1
Darling Yaki YB1/27/350,1
Deep Mud Soap,1
Deo Fit Virginity Drops,1
Ear Protector Black,1
Ear Protector Black Hard,1
Ear Protector Gold,1
Earings,1
Easy Wave Conditioner,1
Flower Hair Updo Multi colour,1
Hair Chalk Green,1
Hair Comb Large,1
Hair Loss Ampule,1
Hair Shampoo Dye,1
Havaianas Zebra Slim line,1
Highlighter Cap,1
Keratin Silicon Serum 30 gr,1
Maca Male Enhancer,1
Male Libido Enhancer,1
One Million Braid #1/39,1
Penis Silicon Ring,1
Pony Tail #2,1
Pony Tail #4,1
Spike Condoms,1
Virginity Tablets,1
WS Darling Yaki #35,1
WS Darling Yaki Braid #4,1
YC Virginity Soap with Rose,1
Yellow Jersey,1
