PRODUCT DESCRIPTION,SALES QUANTITY
Curl Activator,8
Darling Yaki Braid #1,4
Keratin Silicon Serum,4
"Linda 26"" Straight",4
"10"" Bella Yaki FH",3
Darling Ultra Dred #4,3
Darling Yaki Braid #35,3
"Linda 26""",3
Darling Soft Dred 1/39,2
Darling Ultra Dred #27,2
Darling Yaki Braid,2
Darling Yaki Braid #27,2
Darling Yaki Ombre 1/35,2
Micro Bead Black 30gr,2
Mixed WS Darling Yaki Braid #1,2
Pappa Reale,2
"10"" Bella Yaki LB",1
"10"" Curly Bella Yaki",1
"10"" Wave Bella Yaki",1
"12"" Wave Aisha Collexion FH",1
"14"" Wave Aisha Collexion FH",1
"16"" Wave Aisha Collexion",1
"22"" Kinky Curl FH",1
Alice Band Silver & Pink & Blue,1
Alice Band Spiral,1
Boys Track Suit Pants,1
Burbury Hair Pin,1
Classic Wanda,1
Darlig Yaki Braid,1
Darling Daniella 4/27,1
Darling Lolita #1,1
Darling Lolita 32,1
Darling Pony Tail #1,1
Darling Pony Tail 2/39,1
Darling Pony Tail 4/27,1
Darling Pony Tails 2/39,1
Darling Soft Dred #1/35,1
Darling Soft Dred 1,1
Darling Soft Dred 1/27,1
Darling Ultra Dred #35,1
Darling Ultra Dred #39,1
Darling Ultra Dred 339,1
Darling Vibrations #1,1
Darling Vibrations #1 /27,1
Darling Yaki Braid  #1,1
Darling Yaki Braid #4,1
DHPS School T-Shirt,1
DY Hair Bolla Piece Short,1
Flexi Rod Large,1
Flexi Rod Medium,1
Grey Pants,1
Hair Bond 60ml,1
Hair Comb Black,1
Hair Dye Shampoo,1
Hair Net,1
Hair Pin Ribbon Various Colour,1
Hair Pin Silicon Material,1
Hair Pins,1
Keratin Glue Crystal Blond,1
Keratin Hair Growth Ampule,1
Mixed WS Darling Yaki Braid #35,1
Mixed WS Darling Yaki Braids #35,1
Nunaat Brazilian Hair Oil,1
One Million Braid 1/27,1
Polka Dot T-Shirt,1
Signiture Shirt Mustard,1
Thongs various colours,1
Weaving Cap,1
Wig Cap,1
Wood Pulling Needle,1
YC Fitting Insertion,1
