PRODUCT DESCRIPTION,SALES QUANTITY
Curl Activator,8
GO-TV Decoder,8
MTC Starter Pack,6
Amla Hair Oil 100ml,5
Pappa Reale,5
Clip Black Pack of 4,4
Darling Yaki Braid #35,4
GO-TV Antenna & Decoder,4
"26""Linda Human Hair",3
BHE Yaki Braid #1,3
Darling Boy Cut #4,2
Darling Boy Cut 4/27,2
Darling Mini Ondule 4/27,2
Darling Yaki Braid #27,2
GO-TV Decoder & Antenna,2
Hair Bonding Glue 60ml,2
"10""Curly 1 Piece Aischa",1
"10""Curly FH",1
"10""Curly FH Aisha Collex",1
"12""Wave FH Aisha Collection",1
"14""Curly Aisha Collexion FH",1
"14""Wave FH Aisha Coll",1
"16""Curly Aisha 1 Piece",1
"18""Curly FH Aisha",1
"22""Wave Jenny Collexion LB",1
"26""Linda Collexion",1
"26""Linda Straight",1
"26""Linda Straight HH",1
"26""Straight Linda",1
"28""Wave Jenny LB",1
Airtime,1
Alice Band Flower with Gold,1
Alice Band Polka Dot,1
Alice Band with Studs,1
Amla Hair Oil,1
BHE Ombre Brown Braid,1
BHE Ombre Yaki Braid #4/27,1
BHE Ponytail #35,1
BHE Yaki Pony Long 4/35,1
BHE Yaki Pony Tail Medium #1,1
Black Copy,1
Black Copy Single Page,1
Black Jean Trouser,1
Brown Lady Shoes Boot,1
Clip Black PO4,1
Clip Brown Pack of 4,1
Clip Brown PO4,1
Cotton Elastic Threat Black,1
Cotton Threat Black,1
Darling Boy Cut #1,1
Darling Boy Cut#4,1
Darling Kayla Curl #2,1
Darling Lolita #1,1
Darling Ombre Braid #1/27,1
Darling Pony Tail #1,1
Darling Pony Tail Long #2,1
Darling Sherry #1,1
Darling Sherry #1/39,1
Darling Sherry #2,1
Darling Sherry 1/35,1
Darling Sherry 1/39,1
Darling Yaki #35 15 Pieces,1
Darling Yaki 1/27/350,1
DSTV,1
DSTV Compact,1
Flexi Rod Large,1
Flexi Rod Small,1
Flower Various Colour,1
Flower Various Colours,1
Hair Bolla Pack of 2,1
Hair Bolla Pack of 2 multi colour,1
Hair Bonding Removr Small,1
Hair Bun Plaite Black,1
Hair Bun Template,1
Hair Grip Shell Handle,1
Hair Sticker,1
Havaianas Beige Slim Line,1
High Rise One Shot,1
High Rise Potent Pills,1
James Acne Soap & Freckle,1
Keratin Glue rystal Blond,1
Liso Conditioner,1
Micro Bead 50gr,1
MTC Starter,1
Small Hair Grip Plastic,1
White Plastic Hair Up Do,1
WS BHE Yaki Braid #1,1
YC Fitting Insertions,1
YC Virginity Soap with Rose,1
YC Virginity W Pink Rose,1
