PRODUCT DESCRIPTION,SALES QUANTITY
GO-TV Decoder & Antenna,10
Bhe Yaki Braid #1,9
Curl Activator,9
Pappa Reale,5
MTC Starter Pack,4
Darling Mini Ondule #4,3
Clip Black Pack of 4,2
Darling Daniella #2,2
Darling Mini Ondule #1,2
Darling Yaki Braid #27,2
Darling Yaki Braid #35,2
Hair Grip Shell Handle,2
"10"" Curly Aischa Collexion",1
"12""Aischa Collecion FH",1
"12""BHE Loose Curl Blond",1
"14""Aisha Collexion FH",1
"14""Hair Piece with Clip",1
"16""Wave Aischa Collexion FH",1
"16""Wave Aisha Collexiion",1
"18""Curly FH Aisha",1
"20""Lace Front",1
"8""Curly FH Aisha",1
Alice Band Sikver Heart,1
Amla Hair Oil 100ml,1
Argussy Virginity Liquid,1
Beach Bag,1
"BHE 18""Deep Curl Purple",1
BHE Ombre Yaki 4/35,1
BHE Ombre Yaki Braid 4/35,1
BHE Pony Tail Medium #4/35,1
BHE Yaki #1,1
BHE Yaki Braid,1
Black Hair Comb,1
Black Magic Shampoo Dye,1
Boys Blue Underwear,1
Brown Bee Egg Shaped,1
Clip Pack of 4 Black,1
Cotton Elastic Threat Black,1
Cream Ladies Hat,1
Darling Kayla Curl #1/30,1
Darling Kayla Curl #1/39,1
Darling Lolita #2,1
Darling Mini Hollywood,1
Darling Mini Hollywood #2,1
Darling Mini Ondule 1/35,1
Darling Mini Ondule 4/27,1
Darling Ombre Braid 1/27,1
Darling Pony Tail #2,1
Darling Sherry #1,1
Darling Ultra Dred #27,1
Darling Ultra Dred #39,1
Darling Vibrations #4,1
Darling Yaki #35,1
DSTV Compact,1
Dye Bowl Black,1
Dye comb & Brush Combo,1
Electricity,1
Flexi Rod Medium,1
GO-TV Antenna & Decoder,1
Hair Detangler Green,1
Hair Heating Hat,1
High Rise Potent  Pills,1
Marhaba Amla Hair Oil,1
Miss Beauty Masque Peel,1
NH Mehandi Brown Dye Henna,1
Noor Kayaal Eyeliner,1
Penis Silicon Ring,1
Satin Red Ladies Top,1
Tube Eueliner,1
Velcro Curler Orange,1
Wig Stand Plastic,1
YC Fitting Insertions,1
YC Virginity Soap with Pink Rose,1
