PRODUCT DESCRIPTION,SALES QUANTITY
Black Copy,234
Darling Yaki Braid #1,139
Curl Activator,109
Darling Yaki Braid #35,105
BHE Yaki Braid #1,64
Clip Black Pack of 4,49
Darling Yaki Braid #27,45
Pappa Reale,44
MTC Starter Pack,43
Go-TV Decoder & Antenna,42
"Linda 26""Straight",38
Darling Yaki Braid #4,34
Black Clip PO4,32
Darling Ombre Braid #1/27,27
Amla Hair Food 100ml,25
Alice Band,24
Darling Yaki Braid,24
"Linda 22"" Straight",23
Flexi Rod Medium,20
Mixed WS Darling Yaki Braid #1,20
Ear Protector,19
Darling Lolita #1/35,18
Darling Yaki  Braid #1/27/350,18
Darling Yaki #35 of 15 Pieces,18
Clip Brown Pack of 4,16
Mixed WS Darling Yaki Braid #35,16
Darling Yaki YB #1/27/350,15
Darling Vibrations #1 /27,14
JS Hair Treatment,14
Darling Yaki #4,13
"Linda 24"" Straight",13
Oshinge Yaki Braid #1,13
Peanuts & Raisins,13
Marhaba Amla Hair Oil,12
YC Fitting Insertions,12
"26""Linda Straight",11
BHE Ombre Yaki Braid 4/35,11
Darling Ultra Dred #27,11
"Linda 26""",11
MW Darling Yaki Braid #35,11
One Million Braid #1/39,11
WS Darling Yaki Braid #1,11
"26""Linda Straight Collexion",10
BHE Ombre Braid Brown,10
BHE Pony Tail Medium #4/35,10
Clip Blond Pack of 4,10
Darling Boy Cut #1,10
Darling Sherry #1,10
Darling Sherry #1/35,10
Darling Soft Dred #1/27,10
Darling Ultra Dred #4,10
Darling Yaki Braid #1/27/35,10
Mixed Darling Yaki Braid #1,10
MWS Darling Yaki Braid #1,10
Darling Daniella #2,9
Darling Daniella #4/27,9
Darling Pony Tail #1/27,9
Darling Ultra Dred #39,9
Darling Yaki #35,9
Flexi Rod Large,9
Flower Various Colour,9
GO-TV Decoder,9
Keratin Silicon Serum,9
A Lip Stick Variours Colours,8
Darling Boy Cut #4,8
Darling Joya #1,8
Darling Lolita #2,8
Darling Pony Tail #1,8
Darling Pony Tail #4/27,8
Darling Soft Dred 1/39,8
Darling Vibrations #4,8
Darling Yaki Ombre Braids,8
Hair Grip Shell Handle,8
"26""Linda Human Hair",7
BHE Yaki Pony Tail Medium #1,7
Cotton Elastic Threat Black,7
Darling Pony Tail #2/39,7
Darling Soft Dred #1,7
Darling Soft Dred #1/35,7
Darling Yaki Braid #1/27,7
Hail Bola Black Large,7
Hair Comb ,7
Hair Detangler,7
Havaianas,7
High Rise Potent  Pills,7
WS Darling Yaki Braid #35,7
YC Virginity Soap with Pink Rose,7
BHE Ponytail #35,6
Burberry Hair Pin,6
Darling  Yaki 1/27/350,6
Darling Kayla Curl #1/39,6
Darling Mini Hollywood #2,6
Darling Pony Tail #4,6
Darling Sherry #2,6
Deo Fit Lady Drops Virginity,6
Hair Bolla Pack of 2 Multi Colour,6
Hair Bonding Glue,6
Hair Loss Ampule,6
Hair Shampoo Dye Black,6
Mixed WS Darling Yaki #27,6
Mixed WS Darling Yaki Braid #1/35,6
MW Darling Yaki Braid #4,6
Nunaat Brazilian Hair Oil,6
Oshinge Pony Tail Long #35,6
V Colour Hair Comb with Stud,6
WS BHE Ombre 4/27,6
WS BHE Ombre 4/35,6
"10""Curly FH Aisha Collex",5
BHE Ombre Yaki Braid 4/27,5
Black Copy Single,5
Black Hair Comb,5
Carmen Joedir Wig Human Hair,5
Cosmetic Bag,5
Darling Boy Cut 4/27,5
Darling Mini Ondule #1,5
Darling Sherry #1/39,5
Darling Yaki #1,5
Darling Yaki Braid #1/27/350,5
Flower Hair Updo Multi colour,5
Hair Pin Ribbon Design Various Colours,5
Keratin Glue Crystal Blond,5
Mixed Darling Yaki Braid #35,5
Noor Kayaal Eyeliner,5
WS Darling Yaki Braid #4,5
YC Virginity Soap with Rose,5
"10"" Wave Bella Collexion",4
"12""Wave FH Aisha Collection",4
"14""Curly Aisha Collexion",4
"14""Wave Aisha Collexion",4
Adele Joedir Wig,4
BHE Ombre Braid 4,4
Clip Pack of 4,4
Darling Kayla Curl #1/35,4
Darling Mini Ondule #4,4
Darling Mini Ondule 4/27,4
Darling Pony Tail #2,4
Darling Yaki Ombre #1/35,4
Darling Yaki Ombre YB #1/35,4
Hair Grip Bear V Colour,4
Pulling Needle ,4
SS Oil Moisture Spray 250ml,4
Thongs various colours,4
Tube Eyeliner,4
Weaving Cap,4
Wig Plastic Stand,4
"10"" Bella Yaki FH",3
"10"" Wave Aisha Collexion",3
"16""Wave Aisha Collexion",3
"18""Curly FH Aisha",3
"18""Wave Aisha Collexion",3
"20"" Wave Clip Hair Piece",3
"20""wave Aisha Collexion",3
"28""Wave 1 Piece Jenny Collexion",3
"6""Joedire FH",3
"8"" Wave Bella Collexion",3
"8""Joedire FH",3
Black Magic Shampoo Dye,3
C Shaped Needle,3
Darlig Yaki Braid,3
Darling Kayla Curl #1,3
Darling Kayla Curl #1/30,3
Darling Kayla Curl #2,3
Darling Mini Hollywood,3
Darling Sherry #1/27,3
Darling Yaki #27,3
Darling Yaki Ombre Braid #1/27,3
Darling Yaki YB #1/27,3
DIY Wig,3
DSTV,3
Flexi Rod Small,3
Hair Net,3
Hair Pins,3
Hair straightner Iron,3
Highlighter Cap,3
Keratin Glue Sticks Black Long,3
Lace Wig Tape Roll,3
Make Up Brush Set,3
Micro Bead Black,3
Micro Bead Black 30g,3
Movie Star Joedir Wig,3
Nipple Bra 36 Beige,3
Oshinge Pony Tail Long #1,3
Oshinge Pony Tail Medium #1,3
Penis Silicon Ring,3
Pony Tail #2,3
Silicon Multi Colour Small,3
Velcro Curler Orange,3
Wig Cap,3
WS BHE Ombre Rusty,3
YC Deo Fit Insertions,3
"10"" Wave Bella Collexion LB",2
"10""Bella Yaki FH",2
"10""Wave Bella Yaki FH",2
"10""Wave FH Aisha",2
"12"" Curly Aisha Collexion",2
"12""Wave Aisha Collexion",2
"14""Curly FH Aisha",2
"16"" Straight Bella Hair Piece",2
"16""Curly 1 Piece  Aisha Collexion",2
"16""Wave Aischa Collexion FH",2
"18""Curly Aisha Collexion",2
"20""Curly Aisha Collexion",2
"20""Synthetic Hair Clip Piece",2
"26""Linda Collexion",2
"26""Linda Straight HH",2
"8"" Wave Bella Collexion LB",2
Airtime,2
Amla Plus 100ml,2
Argussy Virginity Liquid,2
Artificial Hair Colour,2
Bee Hive Rough Black,2
BHE Hair Piece #1,2
Brown Hair Comb Large,2
Brown Leather Jacket,2
Classic Wanda Human Hair,2
Darling Mini Ondule 1/35,2
Darling Pony Tail long #2,2
Darling Yaki Vibrations #1,2
DHPS School T-Shirt,2
