PRODUCT DESCRIPTION,SALES QUANTITY
Darling Yaki Braid #1,9
Go-TV Decoder & Antenna,7
Curl Activator,5
MTC Starter Pack,5
Darling Yaki Braid #35,3
Pappa Reale,3
WS Darling Yaki Braid #1,3
Amla Hair Oil,2
Amla Hair Oil 100ml,2
Burberry Hair Pin,2
Clip Brown Pack of 4,2
Darling Mini Ondule #1,2
Darling Sherry #1,2
DARLING SHERRY 1/35,2
Darling Vibrations 1/27,2
WS Darling Yaki Braid #35,2
"10""Wave Bella Yaki FH",1
"12""Wave FH Aisha Collexion",1
"14""Curly Aisha Collexion",1
"14""Wave  Aisha Collexion",1
"18""Wave Aisha Collexion",1
"20""Wave Aisha Collexion",1
"26""Linda Straight",1
A Lip Stick Various Colour,1
Alice Band with Studs,1
Amla Hair Food 100ml,1
BHE Yaki Braid #1,1
Brown Comb large,1
Carmen Joedir Wig Human Hair,1
Clip Black Pack of 4,1
Curl ctivator,1
Darling Boy Cut #4,1
Darling Daniella 2,1
Darling Daniella 4/27,1
Darling Lolita #1,1
Darling Lolita #2,1
Darling Mini Hollywood,1
Darling Mini Hollywood #2,1
Darling Pony Tail #1,1
Darling Pony Tail #2,1
Darling Sherry #2,1
Darling Sherry 1/27,1
Darling Sherry 1/39,1
Darling Vibrations #4,1
Darling Vibrations 4,1
Deo Lady Virginity Drops,1
Earings,1
Flexi Rod Large,1
Flexi Rod Small,1
Flower Various Colours,1
Green & Cream T-Shirt,1
Hair Bola Black Large,1
Hair Bola Large,1
Hair Bonding Glue 60ml,1
Hair Straightner Iron,1
Havaianas Off Pink,1
Keratin Glue Gun Small,1
Keratin Glue Sticks Black Long,1
"Linda 26""Straight",1
Magic Black Shampoo,1
Magic Black Shampoo Dye,1
Marhaba Amla Hair Oil,1
Marhaba Amla Oil,1
Men Formal Shoes,1
Men's Formal Shoes laybuy,1
Men's Performance Booster,1
Movie Star Joedir Wig,1
Movie Star Joedir Wig Human,1
MTC Stater Pack,1
Naomi Joedir Wig,1
NH MEHANDI DYE HENNA,1
Purplr & Orange Dress,1
Spiderman Frame,1
Thongs Various Colours,1
V COLOUR HAIR BOLA SPIRAL,1
WS Darling Yaki Braid #27,1
YC Fitting Insertions,1
YC Virginity With Rose,1
